Date,total_lmp,node_name
7/2/2022 8:00:00 AM,55.10370,DOMINION HUB
7/2/2022 8:00:00 AM,56.88614,EASTERN HUB
7/2/2022 8:00:00 AM,52.72408,N ILLINOIS HUB
7/2/2022 8:00:00 AM,56.12904,NEW JERSEY HUB
7/2/2022 8:00:00 AM,55.01989,OHIO HUB
7/2/2022 8:00:00 AM,55.40944,WEST INT HUB
7/2/2022 8:00:00 AM,56.62343,WESTERN HUB
7/2/2022 9:00:00 AM,64.47710,AEP GEN HUB
7/2/2022 9:00:00 AM,66.30479,AEP-DAYTON HUB
7/2/2022 9:00:00 AM,66.86022,ATSI GEN HUB
7/2/2022 9:00:00 AM,63.42869,CHICAGO GEN HUB
7/2/2022 9:00:00 AM,64.48805,CHICAGO HUB
7/2/2022 9:00:00 AM,66.55276,DOMINION HUB
7/2/2022 9:00:00 AM,65.87420,EASTERN HUB
7/2/2022 9:00:00 AM,63.97569,N ILLINOIS HUB
7/2/2022 9:00:00 AM,64.87394,NEW JERSEY HUB
7/2/2022 9:00:00 AM,66.53025,OHIO HUB
7/2/2022 9:00:00 AM,67.30555,WEST INT HUB
7/2/2022 9:00:00 AM,68.83437,WESTERN HUB
7/2/2022 10:00:00 AM,72.21236,AEP GEN HUB
7/2/2022 10:00:00 AM,74.14218,AEP-DAYTON HUB
7/2/2022 10:00:00 AM,75.34840,ATSI GEN HUB
7/2/2022 10:00:00 AM,71.52015,CHICAGO GEN HUB
7/2/2022 10:00:00 AM,72.65606,CHICAGO HUB
7/2/2022 10:00:00 AM,75.63036,DOMINION HUB
7/2/2022 10:00:00 AM,71.91383,EASTERN HUB
7/2/2022 10:00:00 AM,72.10433,N ILLINOIS HUB
7/2/2022 10:00:00 AM,70.53842,NEW JERSEY HUB
7/2/2022 10:00:00 AM,74.37946,OHIO HUB
7/2/2022 10:00:00 AM,76.48166,WEST INT HUB
7/2/2022 10:00:00 AM,78.43009,WESTERN HUB
7/2/2022 11:00:00 AM,87.88631,AEP GEN HUB
7/2/2022 11:00:00 AM,90.39918,AEP-DAYTON HUB
7/2/2022 11:00:00 AM,89.70613,ATSI GEN HUB
7/2/2022 11:00:00 AM,87.00207,CHICAGO GEN HUB
7/2/2022 11:00:00 AM,88.46548,CHICAGO HUB
7/2/2022 11:00:00 AM,92.82116,DOMINION HUB
7/2/2022 11:00:00 AM,85.53460,EASTERN HUB
7/2/2022 11:00:00 AM,87.77597,N ILLINOIS HUB
7/2/2022 11:00:00 AM,82.45081,NEW JERSEY HUB
7/2/2022 11:00:00 AM,90.61151,OHIO HUB
7/2/2022 11:00:00 AM,91.84944,WEST INT HUB
7/2/2022 11:00:00 AM,94.52124,WESTERN HUB
7/2/2022 12:00:00 PM,97.26736,AEP GEN HUB
7/2/2022 12:00:00 PM,100.24188,AEP-DAYTON HUB
7/2/2022 12:00:00 PM,98.93500,ATSI GEN HUB
7/2/2022 12:00:00 PM,96.53900,CHICAGO GEN HUB
7/2/2022 12:00:00 PM,98.10475,CHICAGO HUB
7/2/2022 12:00:00 PM,103.31115,DOMINION HUB
7/2/2022 12:00:00 PM,86.86277,EASTERN HUB
7/2/2022 12:00:00 PM,97.36710,N ILLINOIS HUB
7/2/2022 12:00:00 PM,81.42705,NEW JERSEY HUB
7/2/2022 12:00:00 PM,100.45906,OHIO HUB
7/2/2022 12:00:00 PM,102.08166,WEST INT HUB
7/2/2022 12:00:00 PM,105.15342,WESTERN HUB
7/2/2022 1:00:00 PM,94.70026,AEP GEN HUB
7/2/2022 1:00:00 PM,97.65078,AEP-DAYTON HUB
7/2/2022 1:00:00 PM,97.64954,ATSI GEN HUB
7/2/2022 1:00:00 PM,93.63061,CHICAGO GEN HUB
7/2/2022 1:00:00 PM,95.19072,CHICAGO HUB
7/2/2022 1:00:00 PM,100.50015,DOMINION HUB
7/2/2022 1:00:00 PM,93.06074,EASTERN HUB
7/2/2022 1:00:00 PM,94.48093,N ILLINOIS HUB
7/2/2022 1:00:00 PM,81.84734,NEW JERSEY HUB
7/2/2022 1:00:00 PM,97.66017,OHIO HUB
7/2/2022 1:00:00 PM,100.43999,WEST INT HUB
7/2/2022 1:00:00 PM,103.54405,WESTERN HUB
7/2/2022 2:00:00 PM,100.24026,AEP GEN HUB
7/2/2022 2:00:00 PM,103.12690,AEP-DAYTON HUB
7/2/2022 2:00:00 PM,102.15681,ATSI GEN HUB
7/2/2022 2:00:00 PM,98.95992,CHICAGO GEN HUB
7/2/2022 2:00:00 PM,100.60217,CHICAGO HUB
7/2/2022 2:00:00 PM,107.36713,DOMINION HUB
7/2/2022 2:00:00 PM,103.97426,EASTERN HUB
7/2/2022 2:00:00 PM,99.85115,N ILLINOIS HUB
7/2/2022 2:00:00 PM,83.52250,NEW JERSEY HUB
7/2/2022 2:00:00 PM,103.05471,OHIO HUB
7/2/2022 2:00:00 PM,106.35888,WEST INT HUB
7/2/2022 2:00:00 PM,110.21738,WESTERN HUB
7/2/2022 3:00:00 PM,106.31500,AEP GEN HUB
7/2/2022 3:00:00 PM,109.52946,AEP-DAYTON HUB
7/2/2022 3:00:00 PM,106.53340,ATSI GEN HUB
7/2/2022 3:00:00 PM,104.60976,CHICAGO GEN HUB
7/2/2022 3:00:00 PM,106.52541,CHICAGO HUB
7/2/2022 3:00:00 PM,113.99266,DOMINION HUB
7/2/2022 3:00:00 PM,112.99603,EASTERN HUB
7/2/2022 3:00:00 PM,105.66360,N ILLINOIS HUB
7/2/2022 3:00:00 PM,87.73587,NEW JERSEY HUB
7/2/2022 3:00:00 PM,109.33938,OHIO HUB
7/2/2022 3:00:00 PM,111.98610,WEST INT HUB
7/2/2022 3:00:00 PM,116.73769,WESTERN HUB
7/2/2022 4:00:00 PM,122.18552,AEP GEN HUB
7/2/2022 4:00:00 PM,125.65346,AEP-DAYTON HUB
7/2/2022 4:00:00 PM,123.32613,ATSI GEN HUB
7/2/2022 4:00:00 PM,120.47292,CHICAGO GEN HUB
7/2/2022 4:00:00 PM,122.58789,CHICAGO HUB
7/2/2022 4:00:00 PM,131.85830,DOMINION HUB
7/2/2022 4:00:00 PM,126.14733,EASTERN HUB
7/2/2022 4:00:00 PM,121.62310,N ILLINOIS HUB
